Year,Ring,ID_YearBird,FID,FID_nb,Island_ID,Island_type,Breed_exp,Body_condition,ClutchSize,Eagle_index,Ad_pred_risk,Nest_pred_risk,Laying_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65566,2009-65566,200,1,FU,Forested,2,0.144396589,5,2.9452,0.054054054,0.25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66708,2009-66708,1500,1,FU,Forested,1,0.105785872,7,2.9452,0.054054054,0.25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65566,2009-65566,100,2,FU,Forested,2,0.144396589,5,2.9452,0.054054054,0.25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66719,2009-66719,10,2,FU,Forested,1,0.026053027,5,2.9452,0.054054054,0.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66708,2009-66708,1500,2,FU,Forested,1,0.105785872,7,2.9452,0.054054054,0.25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,58863,2009-58863,150,1,FU,Forested,5,0.093127489,5,2.9452,0.054054054,0.25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,58863,2009-58863,150,2,FU,Forested,5,0.093127489,5,2.9452,0.054054054,0.25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65567,2009-65567,200,3,FU,Forested,2,-0.041064606,4,2.9452,0.054054054,0.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65568,2009-65568,250,1,FU,Forested,2,-0.08982909,5,2.9452,0.054054054,0.25,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65568,2009-65568,500,2,FU,Forested,2,-0.08982909,5,2.9452,0.054054054,0.25,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66719,2009-66719,20,1,FU,Forested,1,0.026053027,5,2.9452,0.054054054,0.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66706,2009-66706,1000,3,FU,Forested,1,0.05767339,5,2.9452,0.054054054,0.25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65567,2009-65567,150,1,FU,Forested,2,-0.041064606,4,2.9452,0.054054054,0.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66705,2009-66705,500,3,FU,Forested,1,0.007005312,4,2.9452,0.054054054,0.25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65567,2009-65567,100,2,FU,Forested,2,-0.041064606,4,2.9452,0.054054054,0.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,54532,2009-54532,350,2,FU,Forested,8,0.042733538,5,2.9452,0.054054054,0.25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66706,2009-66706,500,1,FU,Forested,1,0.05767339,5,2.9452,0.054054054,0.25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66709,2009-66709,400,1,FU,Forested,1,-0.069889878,5,2.9452,0.054054054,0.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66709,2009-66709,500,2,FU,Forested,1,-0.069889878,5,2.9452,0.054054054,0.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66709,2009-66709,800,3,FU,Forested,1,-0.069889878,5,2.9452,0.054054054,0.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66706,2009-66706,800,2,FU,Forested,1,0.05767339,5,2.9452,0.054054054,0.25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66705,2009-66705,350,2,FU,Forested,1,0.007005312,4,2.9452,0.054054054,0.25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,54532,2009-54532,100,1,FU,Forested,8,0.042733538,5,2.9452,0.054054054,0.25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66705,2009-66705,450,1,FU,Forested,1,0.007005312,4,2.9452,0.054054054,0.25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,25097,2009-25097,20,3,FW,Forested,11,-0.007927302,4,2.9452,0,0.083333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,25097,2009-25097,0,1,FW,Forested,11,-0.007927302,4,2.9452,0,0.083333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44101,2009-44101,40,1,FW,Forested,10,0.022015046,6,2.9452,0,0.083333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,25097,2009-25097,10,2,FW,Forested,11,-0.007927302,4,2.9452,0,0.083333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44101,2009-44101,15,2,FW,Forested,10,0.022015046,6,2.9452,0,0.083333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60853,2009-60853,150,2,FW,Forested,4,-0.017679788,3,2.9452,0,0.083333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44101,2009-44101,150,3,FW,Forested,10,0.022015046,6,2.9452,0,0.083333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60853,2009-60853,100,1,FW,Forested,4,-0.017679788,3,2.9452,0,0.083333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,55537,2009-55537,0,3,KA,Forested,7,-0.004197028,5,2.9452,0.088235294,0.333333333,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66665,2009-66665,100,2,KA,Forested,1,-0.113613272,5,2.9452,0.088235294,0.333333333,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66665,2009-66665,150,1,KA,Forested,1,-0.113613272,5,2.9452,0.088235294,0.333333333,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,55537,2009-55537,0,4,KA,Forested,7,-0.004197028,5,2.9452,0.088235294,0.333333333,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64048,2009-64048,0,2,KA,Forested,3,0.06529071,5,2.9452,0.088235294,0.333333333,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60403,2009-60403,150,1,KA,Forested,5,0.061989097,5,2.9452,0.088235294,0.333333333,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,55537,2009-55537,0,1,KA,Forested,7,-0.004197028,5,2.9452,0.088235294,0.333333333,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65529,2009-65529,100,2,KA,Forested,2,0.063658033,3,2.9452,0.088235294,0.333333333,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66660,2009-66660,100,2,KA,Forested,1,0.081596107,5,2.9452,0.088235294,0.333333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60403,2009-60403,250,3,KA,Forested,5,0.061989097,5,2.9452,0.088235294,0.333333333,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65529,2009-65529,100,1,KA,Forested,2,0.063658033,3,2.9452,0.088235294,0.333333333,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66660,2009-66660,250,3,KA,Forested,1,0.081596107,5,2.9452,0.088235294,0.333333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64048,2009-64048,0,1,KA,Forested,3,0.06529071,5,2.9452,0.088235294,0.333333333,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66666,2009-66666,150,1,KA,Forested,1,0.026394579,5,2.9452,0.088235294,0.333333333,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60403,2009-60403,100,4,KA,Forested,5,0.061989097,5,2.9452,0.088235294,0.333333333,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66660,2009-66660,100,1,KA,Forested,1,0.081596107,5,2.9452,0.088235294,0.333333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60403,2009-60403,220,2,KA,Forested,5,0.061989097,5,2.9452,0.088235294,0.333333333,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66666,2009-66666,200,2,KA,Forested,1,0.026394579,5,2.9452,0.088235294,0.333333333,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66666,2009-66666,350,3,KA,Forested,1,0.026394579,5,2.9452,0.088235294,0.333333333,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,55537,2009-55537,0,2,KA,Forested,7,-0.004197028,5,2.9452,0.088235294,0.333333333,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45193,2009-45193,100,4,MAJ,Open,8,-0.027479314,5,2.9452,0,0.75,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45193,2009-45193,250,1,MAJ,Open,8,-0.027479314,5,2.9452,0,0.75,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45193,2009-45193,400,2,MAJ,Open,8,-0.027479314,5,2.9452,0,0.75,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45193,2009-45193,250,3,MAJ,Open,8,-0.027479314,5,2.9452,0,0.75,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45199,2009-45199,120,1,NEG,Open,8,0.063143414,5,2.9452,0,0.333333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,45199,2009-45199,400,2,NEG,Open,8,0.063143414,5,2.9452,0,0.333333333,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60841,2009-60841,350,1,R,Forested,4,0.050979184,5,2.9452,0,0.285714286,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60841,2009-60841,1200,2,R,Forested,4,0.050979184,5,2.9452,0,0.285714286,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60842,2009-60842,250,1,R,Forested,4,0.073915847,6,2.9452,0,0.285714286,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,60842,2009-60842,150,2,R,Forested,4,0.073915847,6,2.9452,0,0.285714286,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65519,2009-65519,300,2,RG,Open,2,-0.047256243,6,2.9452,0,0.333333333,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
